act,prompt
"30-дневный план обучения  ","Составь дружелюбный для новичков 30-дневный план изучения английского с помощью YouTube, музыки, ChatGPT и реальной практики — без приложений."
"Фразы на все случаи жизни  ","Научи меня самым нужным фразам на английском — для путешествий, еды, базового общения и экстренных ситуаций. В приоритете — разговорные и повседневные выражения."
"Мини-уроки каждый день  ","Присылай мне каждый день мини-урок на 5 минут: 3 новых слова, одно предложение и короткий тест."
" Английский дневник с проверкой ","Каждый вечер задавай мне 1 вопрос на английском, на который я отвечаю парой предложений. Потом исправь мой ответ, объясни грамматику и предложи, как улучшить."
"Симуляция общения с носителем  ","Представь, что ты носитель английского. Проведи со мной 3-минутный диалог с учетом моего уровня и мягко исправляй ошибки по ходу."
Игровое обучение лексике,"Создай веселую, интерактивную игру, которая помогает запомнить 10 новых слов в день на английском — через визуальные подсказки или составление предложений."
Еженедельные челленджи,"Каждую неделю давай мне одно практическое задание (например: “закажи еду”, “переведи песню”, “опиши свой день”) и помогай пройти его шаг за шагом."
Тренируем диалоги,"Создай диалог на английском про [тема]. Добавь естественные фразы, ключевые слова и объясни культурные нюансы."
" Пополняем словарь по интересам ",Составь список слов на английском по теме [интересы]. Добавь транскрипцию и примеры в контексте.
Грамматика без боли,"Объясни, как работает [грамматическая тема] простыми словами и на примерах."
"Общение с носителем (симуляция)  ",Проведи со мной диалог на английском про [тема]. Поправь ошибки и предложи естественные выражения.
Изучаем культуру,"Объясни, как носители английского ведут себя в ситуации [сценарий]. Какие ошибки может допустить иностранец?"
Учим слова через истории,"Напиши короткую историю на английском с 5–10 новыми словами. Дай контекст, чтобы я понял их значение без перевода."
15-минутная ежедневная практика,"Составь мне короткий ежедневный план изучения английского, который включает чтение, письмо, аудирование и разговор."
